Date,Daily_Confirmed
23/1/2020,1
24/1/2020,2
25/1/2020,1
26/1/2020,1
27/1/2020,1
28/1/2020,2
29/1/2020,3
30/1/2020,3
31/1/2020,3
1/2/2020,2
2/2/2020,1
3/2/2020,1
4/2/2020,6
5/2/2020,4
6/2/2020,2
7/2/2020,3
8/2/2020,7
9/2/2020,3
10/2/2020,2
11/2/2020,2
12/2/2020,3
13/2/2020,8
14/2/2020,9
15/2/2020,5
16/2/2020,3
17/2/2020,2
18/2/2020,4
19/2/2020,3
20/2/2020,1
21/2/2020,1
22/2/2020,3
23/2/2020,1
24/2/2020,1
25/2/2020,1
26/2/2020,2
27/2/2020,3
28/2/2020,2
29/2/2020,4
1/3/2020,4
2/3/2020,2
3/3/2020,2
4/3/2020,2
5/3/2020,5
6/3/2020,13
7/3/2020,8
8/3/2020,12
9/3/2020,10
10/3/2020,6
11/3/2020,12
12/3/2020,9
13/3/2020,13
14/3/2020,12
15/3/2020,14
16/3/2020,17
17/3/2020,23
18/3/2020,47
19/3/2020,32
20/3/2020,40
21/3/2020,47
22/3/2020,23
23/3/2020,54
24/3/2020,49
25/3/2020,73
26/3/2020,52
27/3/2020,49
28/3/2020,70
29/3/2020,42
30/3/2020,35
31/3/2020,47
1/4/2020,74
2/4/2020,49
3/4/2020,65
4/4/2020,75
5/4/2020,120
6/4/2020,66
7/4/2020,106
8/4/2020,142
9/4/2020,287
10/4/2020,198
11/4/2020,191
12/4/2020,233
13/4/2020,386
14/4/2020,334
15/4/2020,447
16/4/2020,728
17/4/2020,623
18/4/2020,942
19/4/2020,596
20/4/2020,1426
21/4/2020,1111
22/4/2020,1016
23/4/2020,1037
24/4/2020,897
25/4/2020,618
26/4/2020,931
27/4/2020,799
28/4/2020,528
29/4/2020,690
30/4/2020,528
1/5/2020,932
2/5/2020,447
3/5/2020,657
4/5/2020,573
5/5/2020,632
6/5/2020,788
7/5/2020,741
8/5/2020,768
9/5/2020,753
10/5/2020,876
11/5/2020,486
12/5/2020,884
13/5/2020,675
14/5/2020,752
15/5/2020,793
16/5/2020,465
17/5/2020,682
18/5/2020,305
19/5/2020,451
20/5/2020,570
21/5/2020,448
22/5/2020,614
23/5/2020,642
24/5/2020,548
25/5/2020,344
26/5/2020,383
27/5/2020,533
28/5/2020,373
29/5/2020,611
30/5/2020,506
31/5/2020,518
1/6/2020,408
2/6/2020,544
3/6/2020,569
4/6/2020,517
5/6/2020,261
6/6/2020,344
7/6/2020,383
8/6/2020,386
9/6/2020,218
10/6/2020,451
11/6/2020,422
12/6/2020,463
13/6/2020,347
14/6/2020,407
15/6/2020,214
16/6/2020,151
17/6/2020,247
18/6/2020,257
19/6/2020,142
20/6/2020,218
21/6/2020,262
22/6/2020,218
23/6/2020,119
24/6/2020,191
25/6/2020,113
26/6/2020,219
27/6/2020,291
28/6/2020,213
29/6/2020,202
30/6/2020,246
1/7/2020,215
2/7/2020,188
3/7/2020,169
4/7/2020,185
5/7/2020,136
6/7/2020,183
7/7/2020,157
8/7/2020,158
9/7/2020,125
10/7/2020,191
11/7/2020,170
12/7/2020,178
13/7/2020,322
14/7/2020,347
15/7/2020,249
16/7/2020,248
17/7/2020,327
18/7/2020,202
19/7/2020,257
20/7/2020,123
21/7/2020,399
22/7/2020,310
23/7/2020,354
24/7/2020,277
25/7/2020,513
26/7/2020,481
27/7/2020,469
28/7/2020,359
29/7/2020,334
30/7/2020,278
31/7/2020,396
1/8/2020,307
2/8/2020,313
3/8/2020,226
4/8/2020,295
5/8/2020,908
6/8/2020,301
7/8/2020,242
8/8/2020,132
9/8/2020,175
10/8/2020,188
11/8/2020,61
12/8/2020,42
13/8/2020,102
14/8/2020,83
15/8/2020,81
16/8/2020,86
17/8/2020,91
18/8/2020,100
19/8/2020,93
20/8/2020,68
21/8/2020,117
22/8/2020,50
23/8/2020,87
24/8/2020,51
25/8/2020,31
26/8/2020,60
27/8/2020,77
28/8/2020,94
29/8/2020,51
30/8/2020,54
31/8/2020,41
1/9/2020,40
2/9/2020,49
3/9/2020,48
4/9/2020,40
5/9/2020,34
6/9/2020,40
7/9/2020,22
8/9/2020,47
9/9/2020,75
10/9/2020,63
11/9/2020,86
12/9/2020,42
13/9/2020,49
14/9/2020,48
15/9/2020,34
16/9/2020,27
17/9/2020,18
18/9/2020,11
19/9/2020,15
20/9/2020,18
21/9/2020,31
22/9/2020,21
23/9/2020,12
24/9/2020,15
25/9/2020,11
26/9/2020,20
27/9/2020,15
28/9/2020,15
29/9/2020,27
30/9/2020,23
1/10/2020,19
2/10/2020,10
